CardID	balance	type	type	oldCardID
116	74.88	2023-11-24	Senior	\N
117	0	2023-12-01	Adult	\N
118	116.37	2023-12-07	Senior	\N
119	0	2023-01-13	Adult	\N
120	119.37	2023-01-21	Adult	\N
121	28.49	2023-01-22	Senior	\N
122	172.09	2023-04-21	Adult	\N
123	123.32	2022-10-03	Senior	49
124	36.17	2023-05-25	Senior	\N
125	0.12	2023-05-29	Student	\N
126	62.72	2023-06-09	Student	\N
127	198.62	2023-06-17	Adult	\N
128	23.82	2023-06-18	Senior	\N
129	0.16	2024-07-10	Adult	92
130	73.41	2023-06-19	Adult	2
131	0	2023-08-26	Adult	\N
132	0	2023-08-29	Student	\N
133	6.43	2023-08-31	Student	\N
134	14.46	2023-09-18	Adult	\N
135	16.1	2023-09-29	Student	\N
136	179.97	2023-09-29	Adult	8
137	13.35	2024-10-15	Adult	31
138	180.12	2023-11-13	Adult	\N
139	130.09	2023-12-29	Adult	\N
140	0	2023-12-30	Senior	\N
141	19.64	2023-12-30	Student	\N
142	162.04	2023-12-30	Student	\N
143	74.63	2023-12-30	Student	\N
144	9.97	2025-01-15	Student	95
145	13.62	2024-01-23	Student	47
146	108.03	2024-02-03	Adult	\N
147	10.46	2024-02-09	Senior	\N
148	88.54	2025-02-14	Student	65
149	130.19	2025-03-13	Student	97
150	34.5	2024-04-19	Adult	\N
151	0	2024-04-27	Senior	\N
152	107.44	2024-04-30	Student	\N
153	143.04	2025-06-02	Adult	104
154	13.12	2024-06-09	Adult	\N
155	17.2	2024-06-11	Senior	\N
156	25.08	2024-06-14	Student	\N
157	23.32	2024-06-20	Adult	\N
158	6.93	2024-06-27	Adult	\N
159	44.1	2024-06-30	Adult	\N
160	50.26	2024-07-20	Student	\N
161	125.56	2024-09-06	Adult	\N
162	75.39	2023-06-22	Senior	23
163	27.35	2024-11-01	Senior	\N
164	80.61	2024-01-28	Adult	\N
165	105.63	2025-02-13	Student	87
166	71.45	2024-03-06	Adult	\N
167	41.58	2025-05-07	Student	132
168	71.38	2024-06-09	Senior	\N
169	51.39	2024-06-09	Student	\N
170	0	2024-06-10	Adult	\N
171	102.83	2024-06-12	Adult	\N
172	18.42	2024-06-19	Adult	\N
173	0.15	2024-07-03	Student	\N
174	76.15	2024-07-12	Adult	\N
175	24.42	2025-08-12	Adult	117
176	27.23	2024-09-02	Student	\N
177	62.27	2024-09-19	Adult	\N
178	98.53	2025-10-29	Student	100
179	28.1	2024-11-18	Adult	\N
180	0	2024-11-20	Senior	\N
181	47.64	2024-11-20	Adult	\N
182	180.67	2024-11-20	Student	\N
183	84.66	2024-11-20	Senior	\N
184	0.73	2025-01-05	Student	83
185	123	2025-02-06	Adult	\N
186	64.46	2025-03-10	Student	\N
187	0	2025-05-08	Senior	\N
188	174.42	2025-05-23	Adult	\N
189	26.76	2025-06-12	Senior	\N
190	80.4	2025-06-27	Adult	\N
191	0	2025-08-04	Adult	119
192	9.26	2025-08-15	Adult	\N
193	18.79	2025-08-29	Adult	\N
194	0.03	2026-09-02	Adult	170
195	32.58	2020-09-11	Adult	\N
196	191.69	2026-10-16	Senior	151
197	171.42	2026-11-12	Senior	180
198	148.88	2025-12-13	Senior	140
199	17.94	2022-08-17	Student	\N
200	163.82	2022-09-18	Senior	\N
201	135.47	2022-07-12	Senior	\N
202	146.36	2025-09-01	Adult	\N
203	0	2023-04-17	Student	\N
204	62.49	2024-07-05	Senior	\N
205	43.6	2024-11-29	Adult	\N
206	9.28	2024-02-08	Student	\N
207	24.51	2022-10-12	Student	\N
208	120.45	2023-06-14	Adult	\N
209	111.6	2024-02-16	Senior	\N
210	67.13	2025-09-07	Adult	\N
211	104	2024-05-27	Senior	\N
212	36.93	2025-05-05	Adult	\N
213	79.28	2024-05-15	Senior	\N
214	6.1	2023-05-04	Student	\N
215	34.01	2024-09-18	Senior	\N
216	187.31	2025-04-02	Adult	\N
217	161.02	2024-10-26	Adult	\N
218	155.14	2024-02-08	Senior	\N
219	10.56	2025-11-06	Adult	\N
220	51.57	2023-08-04	Adult	\N
221	153.12	2024-02-21	Adult	\N
222	20.29	2024-06-21	Student	203
223	0	2022-08-31	Student	\N
224	0	2023-02-26	Adult	\N
225	81.92	2023-07-04	Adult	\N
226	85.23	2024-10-27	Adult	\N
227	33.86	2023-11-05	Adult	\N
228	51.89	2024-05-24	Senior	\N
229	170.28	2023-09-21	Adult	\N
230	82.77	2022-10-14	Student	223
231	21.75	2023-01-06	Adult	\N
232	154.26	2025-01-14	Senior	\N
233	191.3	2025-12-04	Adult	\N
234	76.55	2022-08-11	Adult	\N
235	27.41	2024-01-06	Senior	\N
236	155.48	2024-06-10	Adult	\N
237	156.82	2023-06-08	Senior	\N
238	91.57	2025-04-30	Adult	\N
239	14.58	2023-02-11	Adult	\N
240	18.29	2024-09-27	Senior	\N
241	91.29	2022-11-29	Adult	\N
242	61.9	2023-07-18	Adult	\N
243	143.45	2022-12-02	Adult	\N
244	138.71	2024-06-13	Adult	\N
245	70.7	2025-07-22	Adult	\N
246	106.12	2023-01-18	Adult	\N
247	66.53	2023-11-11	Adult	\N
248	26.67	2023-06-03	Senior	\N
249	47.34	2022-11-07	Senior	\N
250	86.98	2024-11-07	Adult	\N
251	158.98	2024-06-04	Senior	\N
252	153.58	2023-01-30	Adult	\N
253	140.22	2024-06-03	Adult	\N
254	0	2022-09-25	Adult	\N
255	61.04	2023-11-19	Adult	\N
256	175.8	2023-12-28	Senior	\N
257	128.22	2025-01-14	Adult	\N
258	144.78	2023-05-11	Adult	\N
259	191.74	2024-11-14	Adult	\N
260	95.09	2025-09-12	Adult	\N
261	0	2022-08-16	Adult	\N
262	41.39	2024-04-25	Adult	\N
263	46.85	2024-12-03	Adult	\N
264	189.34	2023-07-16	Senior	\N
265	0	2023-08-26	Adult	\N
266	64.64	2022-10-28	Senior	\N
267	172.31	2025-06-04	Adult	\N
268	109.15	2024-04-10	Senior	\N
269	36.39	2025-03-08	Student	\N
270	21.46	2022-08-05	Senior	\N
271	6.75	2024-06-26	Adult	\N
272	8.41	2023-10-23	Adult	\N
273	145.29	2022-10-07	Adult	\N
274	174.81	2025-08-11	Adult	\N
275	121.25	2025-06-03	Adult	\N
276	157.61	2024-05-27	Adult	\N
277	53.08	2024-03-02	Adult	\N
278	64.52	2024-02-01	Adult	\N
279	113.85	2024-02-14	Senior	\N
280	77.84	2025-01-11	Adult	254
281	30.53	2025-05-13	Senior	\N
282	0	2024-05-18	Adult	\N
283	30.21	2023-09-13	Student	\N
284	112.18	2024-11-13	Senior	\N
285	33.97	2022-12-30	Adult	\N
286	51.15	2024-11-27	Adult	\N
287	168.95	2025-03-24	Adult	\N
288	184.86	2024-01-20	Adult	261
289	156.19	2024-05-25	Senior	\N
290	0	2024-03-08	Senior	\N
291	93.86	2025-06-02	Adult	224
292	4.47	2025-04-22	Adult	\N
293	116.67	2024-04-08	Adult	\N
294	67.04	2022-10-09	Adult	\N
295	99.46	2025-10-13	Adult	\N
296	102	2025-08-12	Senior	\N
297	126.38	2025-02-20	Student	\N
298	58.43	2023-08-31	Senior	\N
299	60.96	2024-03-10	Adult	\N
300	133.39	2025-06-20	Adult	\N
301	136.11	2025-11-29	Adult	\N
302	65.52	2024-02-24	Adult	\N
303	42.82	2022-10-04	Senior	\N
304	198.64	2023-05-14	Student	\N
305	139.22	2025-10-20	Senior	\N
306	143.18	2024-01-27	Adult	\N
307	96.05	2023-09-06	Senior	\N
308	68.55	2025-10-23	Senior	\N
309	18.05	2022-08-11	Student	\N
310	16.6	2023-02-16	Senior	\N
311	13.99	2024-10-17	Adult	\N
312	83.72	2023-04-20	Senior	\N
313	124.75	2025-04-05	Adult	\N
314	128.26	2024-07-30	Adult	\N
315	83.41	2025-04-16	Senior	\N
316	166.2	2025-01-27	Senior	\N
317	78.7	2023-04-09	Senior	\N
318	78.46	2025-12-26	Adult	\N
319	0	2024-07-04	Senior	\N
320	130.77	2024-01-26	Adult	\N
321	34.54	2024-06-16	Adult	\N
322	193.22	2022-08-03	Adult	\N
323	156.35	2025-01-09	Adult	\N
324	75.53	2024-08-26	Adult	265
325	165.14	2025-11-27	Senior	\N
326	68.47	2023-01-21	Student	\N
327	0	2022-09-05	Adult	\N
328	47.21	2025-12-29	Senior	\N
329	21.76	2025-12-10	Senior	\N
330	156.56	2022-09-15	Adult	\N
331	183.35	2023-06-02	Senior	\N
332	0	2023-05-22	Adult	\N
333	163.72	2025-03-27	Adult	\N
334	112.02	2024-04-14	Student	\N
335	197.61	2025-10-23	Student	\N
336	79.23	2024-08-07	Student	\N
337	0	2023-09-26	Adult	\N
338	67.38	2025-01-27	Student	\N
339	19.78	2025-09-14	Student	\N
340	142.24	2025-08-13	Adult	282
341	184.68	2022-09-06	Senior	\N
342	130.01	2022-10-23	Senior	\N
343	89.23	2024-12-05	Adult	\N
344	146.99	2025-08-04	Senior	\N
345	87	2025-12-09	Adult	\N
346	35.04	2025-12-03	Senior	\N
347	159.85	2025-11-21	Student	\N
348	70.36	2024-12-10	Adult	\N
349	111.29	2023-08-31	Adult	\N
350	185.39	2024-12-16	Adult	\N
351	42.92	2025-04-13	Adult	\N
352	0	2023-12-31	Adult	\N
353	142.27	2023-09-20	Student	\N
354	7.24	2024-01-10	Adult	\N
355	16.35	2023-03-08	Adult	\N
356	51.32	2023-02-05	Senior	\N
357	79.64	2024-04-14	Senior	\N
358	25.83	2025-01-13	Adult	\N
359	59.37	2022-10-04	Adult	\N
360	8.02	2023-06-20	Senior	\N
361	152.54	2023-12-31	Student	\N
362	153.74	2024-09-06	Adult	\N
363	95.66	2022-07-20	Adult	\N
364	169.41	2024-04-26	Senior	\N
365	75.63	2025-09-24	Student	\N
366	0	2024-03-04	Adult	\N
367	12.63	2024-09-17	Adult	\N
368	68.62	2025-05-26	Adult	\N
369	164.92	2024-05-10	Adult	\N
370	133.88	2023-03-27	Student	\N
371	52.91	2025-12-02	Senior	290
372	7.94	2025-08-31	Adult	\N
373	155.16	2024-07-23	Adult	\N
374	82.26	2024-12-31	Adult	\N
375	86.96	2024-12-14	Senior	\N
376	0	2023-06-26	Adult	\N
377	94.41	2024-09-05	Adult	327
378	193.88	2024-06-18	Senior	\N
379	80.99	2025-04-11	Adult	366
380	51.46	2025-02-07	Student	\N
381	52.75	2024-11-30	Senior	\N
382	162.72	2025-10-12	Adult	\N
383	71.51	2023-03-29	Senior	\N
384	193.82	2025-12-14	Senior	\N
385	40.18	2025-01-15	Adult	\N
386	175.4	2023-05-20	Student	\N
387	51.22	2022-12-15	Senior	\N
388	152.52	2023-02-20	Adult	\N
389	30.61	2025-11-29	Student	\N
390	28.4	2023-06-25	Adult	\N
391	195.33	2024-12-02	Senior	\N
392	70.77	2024-06-28	Senior	\N
393	7.7	2025-01-01	Student	\N
394	175.58	2024-04-09	Adult	376
395	156.49	2024-04-27	Adult	\N
396	20.35	2025-12-14	Adult	\N
397	113.47	2024-09-27	Adult	\N
398	152.63	2022-07-21	Senior	\N
399	63.74	2022-10-19	Senior	\N
400	44.31	2025-10-06	Senior	319
401	0	2022-10-29	Adult	\N
402	65.54	2023-05-14	Senior	\N
403	171.29	2024-02-08	Adult	\N
404	190.6	2025-04-19	Adult	\N
405	50.41	2024-07-28	Student	\N
406	0	2024-07-17	Senior	\N
407	160.29	2023-12-18	Senior	\N
408	26.96	2023-10-18	Adult	\N
409	117.68	2022-12-20	Adult	\N
410	93.01	2022-07-15	Adult	\N
411	174.46	2023-06-02	Adult	\N
412	124.03	2023-04-16	Adult	\N
413	156.19	2024-01-03	Senior	\N
414	110.49	2024-06-09	Adult	352
415	0	2022-08-16	Adult	\N
416	125.53	2023-03-12	Adult	\N
417	4.53	2022-08-06	Adult	\N
418	136.55	2025-04-21	Adult	\N
419	118.4	2024-08-30	Student	\N
420	100.75	2024-08-13	Adult	332
421	35.23	2024-07-19	Adult	\N
422	188.65	2024-05-17	Adult	\N
423	0	2022-09-13	Senior	\N
424	124.1	2025-11-13	Adult	\N
425	189.92	2025-12-15	Senior	\N
426	109.58	2025-12-19	Student	\N
427	160.7	2025-07-25	Senior	\N
428	77.02	2023-11-25	Adult	\N
429	8.88	2024-12-31	Adult	\N
430	189.52	2025-04-13	Student	\N
431	58.77	2025-03-02	Senior	\N
432	194.99	2022-12-24	Adult	\N
433	194.49	2023-06-17	Adult	\N
434	133.57	2025-06-09	Senior	\N
435	53.95	2023-09-05	Student	\N
436	130.39	2024-10-09	Adult	\N
437	167.58	2022-09-02	Student	\N
438	58.6	2022-09-06	Adult	\N
439	29.04	2023-06-22	Adult	\N
440	136.37	2025-05-10	Adult	337
441	147.34	2025-11-28	Adult	401
442	99.48	2023-08-19	Adult	\N
443	28.14	2025-02-12	Senior	\N
444	38.85	2023-06-06	Senior	\N
445	103.99	2025-02-11	Student	\N
446	11.29	2024-06-17	Senior	\N
447	157.3	2024-04-30	Adult	\N
448	153.95	2023-10-01	Senior	\N
449	158.72	2024-11-17	Adult	\N
450	173.89	2025-08-01	Adult	\N
451	140.73	2023-01-05	Senior	\N
452	21.48	2023-02-15	Student	\N
453	0	2024-06-21	Adult	\N
454	41.45	2024-10-25	Senior	\N
455	148.38	2025-03-09	Senior	406
456	23.63	2022-08-12	Senior	\N
457	69.6	2022-09-13	Senior	\N
458	98.17	2023-10-04	Student	\N
459	2.3	2025-07-01	Student	\N
460	71.08	2025-04-30	Adult	\N
461	0	2025-02-13	Adult	\N
462	84.6	2025-10-27	Student	\N
463	126.98	2025-10-18	Adult	461
464	168.71	2022-09-17	Senior	\N
465	140.9	2023-04-09	Adult	\N
466	186.73	2025-03-27	Adult	\N
467	163.57	2024-02-16	Adult	415
468	55.36	2025-07-26	Student	\N
469	170.99	2024-04-15	Adult	\N
470	138.09	2023-03-12	Student	\N
471	158.73	2024-03-08	Senior	\N
472	115.46	2025-02-06	Senior	423
473	150.92	2025-05-07	Adult	\N
474	33.22	2023-05-16	Student	\N
475	180.35	2022-07-29	Adult	\N
476	188.37	2023-02-19	Adult	\N
477	0.79	2024-09-23	Adult	\N
478	186.05	2024-03-19	Adult	\N
479	1.19	2024-05-27	Adult	\N
480	102.07	2025-06-02	Adult	\N
481	192.24	2024-02-27	Senior	\N
482	0	2022-08-13	Senior	\N
483	32.15	2024-05-20	Senior	\N
484	101.73	2025-07-05	Senior	\N
485	149.08	2024-01-01	Adult	\N
486	193.68	2023-11-20	Senior	\N
487	123.76	2023-06-12	Student	\N
488	174.43	2025-02-28	Adult	\N
489	151.58	2025-09-27	Adult	\N
490	88.73	2023-09-09	Adult	\N
491	34.17	2023-07-21	Adult	\N
492	93.53	2022-08-04	Adult	\N
493	15.4	2023-02-05	Student	\N
494	57.92	2025-05-15	Senior	\N
495	0	2025-07-21	Adult	\N
496	47.32	2025-11-04	Adult	453
497	153.72	2024-02-10	Adult	\N
498	181.38	2025-04-03	Senior	482
499	93.18	2024-10-27	Adult	\N
500	57.39	2025-05-04	Adult	\N
